datetime,adj_close,close,high,low,open,volume,symbol
2026-09-01 09:15:00+05:30,1281.0,1281.0,1286.0,1280.0,1285.0,0,RELIANCE
2026-09-01 09:16:00+05:30,1283.0,1283.0,1284.0999755859375,1280.5,1280.5,145878,RELIANCE
2026-09-01 09:17:00+05:30,1283.300048828125,1283.300048828125,1283.5999755859375,1282.199951171875,1282.800048828125,111964,RELIANCE
2026-09-01 09:18:00+05:30,1283.0,1283.0,1284.4000244140625,1282.800048828125,1282.9000244140625,200539,RELIANCE
2026-09-01 09:19:00+05:30,1284.199951171875,1284.199951171875,1285.800048828125,1283.0999755859375,1283.199951171875,173310,RELIANCE
2026-09-01 09:20:00+05:30,1285.5,1285.5,1285.800048828125,1283.9000244140625,1284.9000244140625,57798,RELIANCE
2026-09-01 09:21:00+05:30,1286.5,1286.5,1287.800048828125,1285.5,1285.699951171875,91548,RELIANCE
2026-09-01 09:22:00+05:30,1287.199951171875,1287.199951171875,1288.9000244140625,1286.699951171875,1286.9000244140625,95202,RELIANCE
2026-09-01 09:23:00+05:30,1287.800048828125,1287.800048828125,1289.0,1286.9000244140625,1286.9000244140625,109871,RELIANCE
2026-09-01 09:24:00+05:30,1290.9000244140625,1290.9000244140625,1291.9000244140625,1288.199951171875,1288.199951171875,194416,RELIANCE
2026-09-01 09:25:00+05:30,1293.199951171875,1293.199951171875,1293.699951171875,1291.0,1291.0999755859375,133272,RELIANCE
2026-09-01 09:26:00+05:30,1293.0999755859375,1293.0999755859375,1293.9000244140625,1292.0999755859375,1293.0999755859375,60054,RELIANCE
2026-09-01 09:27:00+05:30,1292.4000244140625,1292.4000244140625,1293.0,1291.4000244140625,1292.699951171875,138502,RELIANCE
2026-09-01 09:28:00+05:30,1293.800048828125,1293.800048828125,1294.0999755859375,1292.0,1292.4000244140625,116411,RELIANCE
2026-09-01 09:29:00+05:30,1296.300048828125,1296.300048828125,1296.800048828125,1293.5,1293.9000244140625,72198,RELIANCE
2026-09-01 09:30:00+05:30,1295.0,1295.0,1296.800048828125,1295.0,1296.0,40023,RELIANCE
2026-09-01 09:31:00+05:30,1294.5,1294.5,1296.199951171875,1294.199951171875,1294.9000244140625,35211,RELIANCE
2026-09-01 09:32:00+05:30,1295.5999755859375,1295.5999755859375,1297.0999755859375,1293.800048828125,1294.5,97228,RELIANCE
2026-09-01 09:33:00+05:30,1296.5,1296.5,1297.5,1295.699951171875,1295.9000244140625,32464,RELIANCE
2026-09-01 09:34:00+05:30,1294.5,1294.5,1296.5,1293.800048828125,1296.5,34148,RELIANCE
2026-09-01 09:35:00+05:30,1294.300048828125,1294.300048828125,1294.5999755859375,1293.9000244140625,1294.5,22377,RELIANCE
